term,pos,comment,is_case_sensitive,en,comment_en
ཀ་ ཏྱའི་ བུ,,person-Kātyāyana,yes,Kātyāyana,"(also Mahākātyāyana). Disciple of the Buddha noted for his skill in analysis of the Buddha’s discourses and, traditionally, the founder of the Abhidharma. See also note https://read.84000.co/translation/UT22084-060-005.html#UT22084-060-005-936."
ཀ་ ཏྱའི་ བུ,,person-Kātyāyana,yes,Kātyāyana,One of the ten principal pupils of the Buddha. He was foremost in explaining the Dharma.
ཀ་ ཏྱའི་ བུ,,person-Katyāyanī,yes,Katyāyanī,
ཀཱ་ ཏྱཱའི་ བུ,,person-Kātyāyana,yes,Kātyāyana,See “Mahākātyāyana.”
ཀཱ་ ཏྱཱའི་ བུ,,person-Kātyāyana,yes,Kātyāyana,A monk (bhikṣu) and disciple of the Buddha.
ཀ་ ད་ རཾ་ ཙ,,place-Karmaraṅga,yes,Karmaraṅga,"This seems to be the ancient name of Arakan, or what is now the Rakhine State in Myanmar."
ཀ་ དམྦ་ འཁོད་པ,,place-—,yes,Studded with Kadambas,A river on Saṅkāśa.
ཀཱ་ དམྦའི་ ཆུ,,place-—,yes,Duck Lake,A pond on Equal Peaks.
ཀ་ དམྦའི་ བྱ་ རྣམས་ ཀྱིས་ བཅོམ་པ,,place-—,yes,Conquered by Kadambas,A lake on Equal Peaks.
ཀ་ ནིས་ ཀ,,person-Kaniṣka,yes,Kaniṣka,A king of the Kushan empire in the second century ce.
ཀ་ ནྱ་ ཀུབ་ ཛ,,place-Kanyakubja,yes,Kanyakubja,A city in India (modern Kanauj).
ཀ་པ་ ཆེན་པོ,,term-mahākapala,yes,Human skull,
ཀ་ པི་ ཏྠ,,term-kapittha,yes,Elephant wood-apple,"Limonia elephantianum (Correa), Feronia limonia (Linn)."
ཀ་ པི་ ན་ ཆེན་པོ,,person-Mahākapphiṇa,yes,Mahākapphiṇa,Śrāvaka arhat.
ཀ་ པི་ ན་ ཆེན་པོ,,person-Mahākapphiṇa,yes,Mahākapphiṇa,A monk (bhikṣu) and disciple of the Buddha.
ཀ་ པི་ ན,,person-Kapphiṇa,yes,Kapphiṇa,A principal teacher of the monastic saṅgha during the Buddha’s lifetime.
ཀ་ པི་ ན,,person-Kapphiṇa,yes,Kapphiṇa,One of the disciples of the Buddha.
ཀ་ པི་ ལ་ ན་ ཆེན་པོ,,person-Mahākapphiṇa,yes,Mahākapphiṇa,
ཀ་ ཕི་ ན,,person-Kapphiṇa,yes,Kapphiṇa,A monk disciple of the Buddha Śākyamuni.
ཀ་ ཕི་ ན,,person-Kapphiṇa; Kaphina,yes,Kapphiṇa,A principal teacher of the monastic saṅgha during the Buddha’s lifetime. Described as pale skinned and with a prominent nose.
ཀ་བ་ དཔལ་ བརྩེགས,,person-None,yes,Kawa Paltsek,Tibetan translator (fl. late eighth–early ninth centuries).
ཀཱ་བ,,place-Kāverī,yes,Kāverī,A river in the Deccan.
ཀཱ་ བཱི་ ར,,place-Kābīra,yes,Kābīra,A forest in Promotion.
ཀཱ་ བེ་ རི,,place-Kāberi,yes,Kāberi,A river in the south of Jambudvīpa.
ཀཱ་ བེ་ རཱི,,place-Kāverī,yes,Kāverī,A river in Jambudvīpa.
ཀཱ་ མ་ རཱུ་པ,,place-Kāmarūpa,yes,Kāmarūpa,One of the two kṣetras.
ཀ་མ་རུ,,place-Kāmarūpa,yes,Kāmarūpa,Western Assam.
ཀ་མ་ལ་ གུབ་ ཏ,,person-Kamalagupta,yes,Kamalagupta,An Indian scholar who was involved in a number of translations during the eleventh century in Tibet.
ཀ་མ་ལ་ ཤཱི་ ལ,,person-Kamalaśīla,yes,Kamalaśīla,
ཀ་མ་ལ་ ཤཱི་ ལ,,person-Kamalaśīla,yes,Kamalaśīla,Indian Buddhist master (713–763) who came to Tibet in the late 8th century. Said to have been assassinated after a debate with the representatives of Chinese Buddhism. A later legend has him return to India and come back in another body in the eleventh century as the master Padampa Sangye.
ཀ་ ཙང་ ཀ་ལ,,person-Kacaṅkalā,yes,Kacaṅkalā,"A woman who, because she had previously been the Buddha’s mother for five hundred lifetimes, saw him as her son and ran to embrace him. Then, hearing the Dharma from him, she became ordained and manifested arhatship, and the Buddha declared her foremost among nuns who interpret the sūtras."
ཀ་ ཙང་ ག་ལ,,person-Kacaṅgalā,yes,Kacaṅgalā,A woman who was the Buddha’s mother in a former life.
ཀ་ ཡ,,person-Kaya,yes,Kaya,A member of the Śākya clan.
ཀ་ར་ ན་ -འི་ མཐའ་ ན་ གནས་པ,,place-—,yes,Situated by the End of Karaṇa,An area in Kuru.
ཀ་ར་ བཱི་ ར,,term-karavīra,yes,Indian oleander,Nerium indicum.
ཀཱ་ རཎྜ་བ་ -འི་ ཀླུང,,place-—,yes,Duck Stream,A lake on Equal Peaks.
ཀ་ རྟི་ ཀ,,person-Kārttikeya,yes,Kārttikeya,"Kārttikeya (alt. Skanda) is the son of Śiva and Pārvatī. Like Gaṇapati, Kārttikeya is said to lead the gaṇas in battle against demonic beings and is considered a god of war."
ཀཱ་ ལ་ ཀུ་ ཊ,,term-kālakūṭa,yes,Kālakūṭa,A deadly poison that originated when the gods and asuras churned the oceans to create the nectar of immortality.
ཀཱ་ ལ་ ཀོ,,place-Kālaka,yes,Kālaka,An island in the sea west of Jambudvīpa.
ཀཱ་ ལ་ རཱུ་པ,,person-Kālarūpa,yes,Kālarūpa,"“Black Form.” This seems to be an epithet of Mūrdhaṭaka, one of the wrathful emanations of Mañjuśrī."
ཀ་ ལཉྫི,,place-Kāliñjara,yes,Kāliñjara,Name of a country; inhabitant of this country.
ཀ་ ལན་ ད་ ཀ,,place-Kalandaka,yes,Kalandaka Forest,"A grove or forest within the Veṇuvana near Rājagṛha, where Buddha Śākyamuni spent several monsoon retreats and delivered many Great Vehicle teachings. In other texts it is known as the Kalandakanivāsa or °nivāpa, the dwelling place or feeding ground of kalandaka—crows or other birds according to Tibetan renderings, but some Sanskrit and Pali sources suggest flying squirrels."
ཀ་ ལན་ ད་ ཀ་ -འི་ གནས,,place-Kalandakanivāpa,yes,Kalandakanivāpa,"A place where the Buddha often resided, within the Bamboo Park (Veṇuvana) outside Rajagṛha that had been donated to him. The name is said to have arisen when, one day, King Bimbisāra fell asleep after a romantic liaison in the Bamboo Park. While the king rested, his consort wandered off. A snake (the reincarnation of the park’s previous owner, who still resented the king’s acquisition of the park) approached with malign intentions. Through the king’s tremendous merit, a gathering of kalandaka—crows or other birds according to Tibetan renderings, but some Sanskrit and Pali sources suggest flying squirrels—miraculously appeared and began squawking. Their clamor alerted the king’s consort to the danger, who rushed back and hacked the snake to pieces, thereby saving the king’s life. King Bimbisāra then named the spot Kalandakanivāpa (“Kalandakas’ Feeding Ground”), sometimes (though not in the Vinayavastu) given as Kalandakanivāpa (“Kalandakas’ Abode”) in their honor. The story is told in the Saṅghabhedavastu (Toh 1, ch.17, Degé Kangyur vol.4, folio 77.b et seq.)."
ཀ་ ལན་ ད་ ཀ་ -འི་ གནས,,place-Kalandaka­nivāpa,yes,Kalandakanivāpa,"A place where the Buddha often resided, within the Bamboo Grove (Veṇuvana) outside Rājagṛha that had been donated to him by King Bimbisāra of Magadha."
ཀ་ ལམ་ བི,,term-kalambī,yes,Water spinach,"Convolvulus repens, Ipomoea aquatica."
ཀ་ ལིང་ ཀ,,place-Kaliṅga,yes,Kaliṅga,A country.
ཀ་ ལིང་ ཀ,,place-Kaliṅga,yes,Kaliṅga,One of the two chandohas.
ཀ་ ལིང་ ཀ,,place-Kaliṅga,yes,Kaliṅga,An ancient country on the Coromandel Coast.
ཀ་ ལིང་ ག་ -འི་ ནགས་ཚལ,,place-Kaliṅgavana,yes,Kaliṅgavana,A town in South India.
ཀ་ ལིང་ ག་ -འི་ རྒྱལ་པོ,,person-Kaliṅgarāja,yes,Kaliṅgarāja,A buddha.
ཀ་ ཤི་ ཀ་ ནས་ བྱུང་བ་ -འི་ གོས,,term-kāśikavastra,yes,Kaśika cloth,"Cotton from Vārāṇasī, the capital of the ancient kingdom of Kashi, renowned as the best."
ཀཱ་ ཤི་ མཛེས་ལྡན་ མ,,person-Kāśisundarī,yes,Kāśisundarī,"“Beauty of Kāśi.” Princess of Vārāṇasī, child of Brahmadatta (present), who was extraordinarily beautiful and desired by six royal suitors. When her father announced she would choose her own spouse, she “chose” the Buddha, went forth, and manifested arhatship."
ཀ་ ཤི,,place-Kāśi,yes,Kāśi,"Ancient name for Vārāṇasī, the holy city on the banks of the Ganges in modern day Uttar Pradesh, India."
ཀ་ ཤི,,place-Kāśi,yes,Kāśi,A country or a city named the same.
ཀ་ ཤི,,place-Kāśi,yes,Kāśi,Another name for Vārāṇasī.
ཀཱ་ ཤི,,place-Kāśi,yes,Kāśi,"Country whose capital was Vārāṇasī, in the Buddha’s time it had been absorbed into Kośala. Its monarch was Brahmadatta (past)."
ཀཀྐོ་ ཊ,,person-Karkoṭaka,yes,Karkoṭaka,One of the kings of the nāgas.
ཀཱཉྩི,,place-Kāñcī,yes,Kāñcī,One of the two auxiliary chandohas.
ཀན་ ནྱ་ ཀུབ་ ཙ,,place-Kanyakubja; Kanyākubja,yes,Kanyakubja,"The name of an important ancient Indian city identified as modern Kannauj in Uttar Pradesh, India."
ཀནྐི་ ཀི་ རཱ་ ཏཱ,,term-Kinkikirāta,yes,Kinkikirāta,A barbaric people in Jambudvīpa.
ཀཾ་ ཀ་ལ,,person-Vajrakaṃkāla,yes,Vajrakaṃkāla,
ཀམ་པོ་ ཛཱི,,place-Kamboja,yes,Kamboja,"A land to the north of Jambudvīpa, corresponding to the northern Afghanistan"
ཀམ་བ་ ལ,,person-kambala,yes,Kambala,A nāga king.
ཀམྤོ་ ཙེ,,term-kamboja,yes,Kamboja,A class of malevolent spirits.
ཀར་ ཀ་ ཏེ,,person-Karkaṭī,yes,Karkaṭī,
ཀར་ ཎ,,place-Karnāṭa,yes,Karnāṭaka,A country corresponding to modern Karnataka State in India.
ཀརྐོཏེ་ མུ་ ཁི,,person-Karkoṭakamukhī,yes,Karkoṭakamukhī,“One with the Face of Karkoṭa.” One of the eight nāga queens.
ཀརྞྞི་ ཀ,,place-Karṇika,yes,Karṇika,A land in the east of Jambudvīpa.
ཀརྨ་པ,,person-—,yes,Karmapa,"Successive incarnations as the heads of the Karma Kagyu tradition, beginning with Dusum Khyenpa (dus gsum mkhyen pa, 1110–1193)."
ཀཱརྵཱ་པ་ ཎ,,term-kārṣāpaṇa,yes,Gold coin,"Lit. “weighing a karṣa,” a coin or weight of different values (Monier-Williams 276.3); a type of ancient Indian currency."
ཀིབ་པ་ ལ,,person-Kimphala,yes,Kimphala,One of the śrāvakas attending the delivery of the MMK.
ཀིམ་ པི་ ལ,,person-Kimpila,yes,Kimpila,A disciple of the Buddha.
ཀིའུ་ ལང,,person-—,yes,Kiulang,An image of the Buddha.
ཀུ་ཀུ་རི་པ,,person-Kukkuripa,yes,Kukkuripa,"Counted among the most famous of the Indian Buddhist Mahāsiddhas and renowned for his association with packs of dogs (kukkura), he is a central figure in a number of tantric lineages, specifically of the Guhya­samāja Tantra and Mahā­māyā Tantra. He was active sometime between the 8th and 10th centuries."
ཀུ་ ཊའི་ འབྲས་བུ་པ,,place-—,yes,Land of Kuṭa Fruits,A land to the north of Jambudvīpa.
ཀུ་བ་ལ་ -འི་ ཚལ,,place-Kubala,yes,Kubala Grove,A grove in Promotion
ཀུ་བེ་ར,,person-Kubera,yes,Kubera,The son of Vaiśravaṇa (one of the four great kings).
ཀུ་བེ་ར,,person-Kubera,yes,Kubera,"Also known as Vaiśravaṇa. One among the Four Great Kings, guardian of the north."
ཀུ་བེ་ར,,person-Kubera,yes,Kubera,"A Hindu god of wealth, appearing in the Buddhist pantheon as Vaiśravaṇa."
ཀུ་བེ་ར,,person-Kubera,yes,Kubera,An alternate name for the yakṣa Jambhala.
ཀུ་བེ་ར་ -འི་ ཚོགས་ ཀྱི་ ནགས,,place-—,yes,Forest of the Assembly of Kubera,A forest in Supreme Strength.
ཀུ་བེ་ར་ -འི་ སྙིང་ དུ་ སྡུག་ མ,,person-Kuberakāntā,yes,Kuberakāntā,
ཀུ་ མ་ དཱའི་ དུས་སྟོན་ སྣ་ཚོགས་ ཅན,,person-Kumuda­vicitramaha,yes,Kumuda­vicitramaha,"A certain bird that lived on Gandhamādana Mountain, who died with thoughts of joy toward the Buddha and therefore took rebirth as a god."
ཀུ་མཱ་ར་ ཀ་ལ་ ཤ,,person-Kumārakalaśa,yes,Kumārakalaśa,The name of an Indian preceptor and teacher who lived during the early Sarma (gsar ma) period (c. 11th century) and worked on the Tibetan translation of the Mañjuśrīmūlatantra.
ཀུ་མཱ་ར་ རཀྵི་ ཏ,,person-Kumārarakṣita,yes,Kumārarakṣita,Named as one of the editor-translators of this sūtra.
ཀུ་ མུ་ ཏ,,term-kumuda,yes,Night lotus,"Nymphaea pubescens. This night-blossoming water lily, which can be red, pink, or white, is not actually a lotus. It does not have the lotus’s distinctive pericarp. Nevertheless, it is commonly called the “night lotus.” It is also known as “hairy water lily,” because of the hairs on the stem and the underside of the leaves."
ཀུ་ མུ་ ཏ,,term-kumuda,yes,Night lotus,"Nymphaea pubescens. This night-blossoming water lily, which can be red, pink, or white, is not actually a lotus. It does not have the lotus’s distinctive pericarp. Nevertheless, it is commonly called the “night lotus.” It is also known as “hairy water lily,” because of the hairs on the stem and the underside of the leaves."
ཀུ་མུ་ད་ འབྱུང་བ,,person-—,yes,Source of Kumudas,A buddha.
ཀུ་མུ་ད་ ལྟར་ གས་པ,,place-kumuda,yes,Cracked Like Pink Lotus Flowers,One of the cold hells.
ཀུ་མུ་ད,,place-Kumuda,yes,Kumuda,A buddha realm.
ཀུ་མུ་ད,,term-kumuda,yes,Night lotus,The water plant Nymphae esculenta.
ཀུ་མུ་ད,,term-kumuda,yes,Water lily,"This water lily, Nymphaea pubescens, can be pink or white and is sometimes incorrectly called a lotus. It flowers at night, and therefore is also called “night lotus.”"
ཀུ་མུ་ད,,term-kumuda,yes,Night lotus,"Nymphaea pubescens. This night-blossoming water lily, which can be red, pink, or white, is not actually a lotus, since it does not have the lotus’s distinctive pericarp. Nevertheless it is commonly called the “night lotus.” It is also known as hairy water lily, because of the hairs on the stem and the underside of the leaves."
ཀུ་མུ་ད,,term-kumuda,yes,Water lily,
ཀུ་མུ་ད་ -ས་ རབ་ཏུ་ ཁེབས་པ,,place-—,yes,Studded with Kumudas,A buddha realm.
ཀུ་མུད་ ལ་ གནས་མ,,person-Kusumanilayā,yes,Kusumanilayā,
ཀུ་ ཙ,,person-Kutsa,yes,Kutsa,
ཀུ་རུ་ ཀུ་ ལླཱ,,person-Kurukullā,yes,Kurukullā,The Buddhist goddess of enthrallment related to or emanating from Tārā.
ཀུ་རུ་ ཀུལ་ ལེ,,person-Kurukullā,yes,Kurukullā,
ཀུ་རུ,,person-Kuru,yes,Kuru,One of the śrāvakas attending the delivery of the MMK.
ཀུ་ ལ་ ཀཱ,,person-Kulakā,yes,Kulakā,A rākṣasī living in Ramayo.
ཀུ་ ལུ་ ཏཱ,,place-Kulatā,yes,Kulatā,One of the auxiliary charnel grounds.
ཀུ་ཤ,,person-Kuśa,yes,Kuśa,A prince who was the Buddha in a former life.
ཀུ་ཤ,,term-kuśa,yes,Kuśa grass,"Poa cynosuroides, a species of grass commonly used in religious ceremonies."
ཀུ་ཤ་ -འི་ གྲོང་ཁྱེར,,place-Kuśinagarī,yes,Kuśinagarī,The city where the Buddha entered parinirvāṇa.
ཀུ་ཤ་ -འི་ གྲོང་ཁྱེར,,place-Kuśinagarī,yes,Kuśinagarī,Village in the country of Mallā where the Buddha passed into parinirvāṇa.
ཀུ་ཤ་ -འི་ མཆོག་ གི་ གྲོང,,place-Kuśāgrapuri,yes,Kuśāgrapura,The one-time capital of ancient Magadha.
ཀུ་ ཤི་ ན,,place-Kuśinagara,yes,Kuśinagara,"The capital of the Malla kingdom, and the town, in the vicinity of which the Buddha passed into parinirvāṇa."
ཀུཀྐུ་ ཊཱ་ ཙཱི་ ར,,place-Kukkuṭācīra,yes,Kukkuṭācīra,A forest on Forest Garlands.
ཀུཉྫ་ རོ,,place-Kuñjaro,yes,Kuñjaro,A mountain in the sea south of Jambudvīpa.
ཀུཌྚཱཾ་ ག་ ཏི་ ན་ གནས་པ,,place-—,yes,Living in Kuttāṃgati,An area in Kuru.
ཀུན་ཁྱབ་ སྦྱིན,,person-Vibhudatta,yes,Vibhudatta,A bhikṣu who was a pupil of Śāriputra.
ཀུན་ གྱི་ དཔལ,,person-—,yes,Glory of All,A buddha.
ཀུན་ གྱི་ བཤེས་གཉེན,,person-Viśvāmitra,yes,Viśvāmitra,"In chapter 44 it is the name of one of the future buddhas of this kalpa. It is also the name of the kalyāṇamitra in chapter 46, the teacher of children."
ཀུན་ གྱི་ བཤེས་གཉེན,,person-Viśmāmitra,yes,Viśmāmitra,
ཀུན་ གྱི་ བཤེས,,person-Viśvāmitra,yes,Viśvāmitra,
ཀུན་ གྱི་ རྟོགས་པ,,person-—,yes,Realized by All Beings,"Name of a gandharva, a former incarnation of the Buddha."
ཀུན་ གྱིས་ བཤེས་གཉེན,,person-Viśvāmitra,yes,Viśvāmitra,
ཀུན་ ཏུ་ ཁ་དོག,,place-—,yes,Abundant Colors,A buddha realm.
ཀུན་ ཏུ་ ཁྱུ་མཆོག,,person-—,yes,Leader in All Regards,A buddha.
ཀུན་ ཏུ་ གནས,,term-saṃsthiti,yes,Stability,
ཀུན་ ཏུ་ གཟིགས་པ,,person-Samantadarśin,yes,Samantadarśin,A future buddha.
ཀུན་ ཏུ་ གཟིགས་པ,,person-Samantadarśin,yes,Samantadarśin,Mañjuśrī’s name when he becomes a buddha.
ཀུན་ ཏུ་ གཟིགས་པ,,person-Samantadarśin,yes,Samantadarśin,
ཀུན་ ཏུ་ གཟིགས་པ་ -འི་ ང་རོ,,person-—,yes,All-Seeing Roar,A buddha.
ཀུན་ ཏུ་ གོ་བ་ -ར་ བྱེད་པ་ -འི་ དབྱངས,,person-—,yes,Universally Understood Melody,A bodhisattva.
ཀུན་ ཏུ་ གོ་བྱེད,,person-—,yes,Instiller of Understanding,A king; a former incarnation of the Buddha.
ཀུན་ ཏུ་ གྲགས་པ་ -འི་ ཆོས་ ཀྱི་ སྤྲིན་སྒྲ་ -འི་ རྒྱལ་མཚན,,place-Samantāvabhāsana­dharma­megha­nirghoṣa­dhvaja; Samanta­dharmāvabhāsa­dharma­megha­nirghoṣa­dhvaja,yes,Samantāvabhāsana­dharma­megha­nirghoṣa­dhvaja,“The Victory Banner That Resounds Everywhere with the Sound of the Clouds of the Dharma.” A Bodhi tree in the distant past.
ཀུན་ ཏུ་ ཉམས་པ་ -འི་ སྟོབས་ ཀྱི་ མཐའ,,place-—,yes,Extent of Failed Power,A city in Godānīya.
ཀུན་ ཏུ་ ཏོག་ མ,,person-Samantaketu,yes,Samantaketu,One of the dhāraṇī goddesses present at the delivery of the MMK.
ཀུན་ ཏུ་ དགའ་བ་ དང་ ལྡན་པ,,place-—,yes,Fully Joyous,Name of the world system of the thus-gone one Immeasurable Light.
ཀུན་ ཏུ་ དགའ་བྱེད,,person-Ānandita,yes,Ānandita,
ཀུན་ ཏུ་ དྲི་མ་ མེད་པ་ -འི་ སྙིང་པོ,,person-—,yes,Universal Stainless Essence,A bodhisattva.
ཀུན་ ཏུ་ དྲི,,person-Samantagandha,yes,Samantagandha,A deva in the retinue of Śakra.
ཀུན་ ཏུ་ བཀོད་པ,,place-—,yes,Fully Arrayed,Name of the world system of the thus-gone one Jewel Foundation.
ཀུན་ ཏུ་ བཏང་བ་ -འི་ འོད་ཟེར་ རབ་ བཏང,,person-—,yes,Constant Spreader of Light Rays,A buddha.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,A great bodhisattva.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,A principal bodhisattva in the Mahāyāna sūtras. Not to be confused with the primordial buddha of the Nyingma tradition.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,"One of the eight principal bodhisattvas, he figures strongly in the Gaṇḍavyūha (the final chapter of the Avataṃsaka­sūtra) and in the Lotus Sūtra. His prominence in these sūtras is the reason why emphasis is placed on Avalokiteśvara’s superiority over him. (Not to be confused with the buddha in the Nyingma tradition.)"
ཀུན་ ཏུ་ བཟང་པོ,,place-Samantabhadra,yes,Samantabhadra,A forest in a past eon.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,"The buddha who presides over the buddha field Unblinking, the buddha field from which the bodhisatva Akṣayamati has come."
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,"One of the eight main bodhisattvas, the heart sons of the Buddha."
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,A bodhisattva.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,A well-known bodhisattva who often figures in the Great Vehicle teachings.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,A bodhisattva.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,The name of a bodhisattva.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,A Buddhist deity; the name of a bodhisattva; also the name of the deity asking Vajrasattva questions at the time of the delivery of the CMT.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samanta­bhadraḥ,yes,Samanta­bhadra,A bodhisattva.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,One of the sixteen great bodhisattvas. The content of the list varies from text to text.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,Name of a bodhisattva.
ཀུན་ ཏུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,"One of the eight main bodhisattvas, the heart sons of the Buddha."
ཀུན་ ཏུ་ བཟང་པོ་ -འི་ ནགས་ རྣམ,,place-—,yes,Excellent Forest,An island in the vicinity of Jambudvīpa.
